"日期","收市","開市","高","低","成交量","升跌（%）"
"2022-10-13","1,677.00","1,680.20","1,688.90","1,648.30","237.01K","-0.03%"
"2022-10-12","1,677.50","1,673.40","1,685.10","1,668.00","131.77K","-0.50%"
"2022-10-11","1,686.00","1,675.60","1,691.30","1,667.50","171.81K","0.64%"
"2022-10-10","1,675.20","1,703.40","1,707.40","1,672.50","157.15K","-1.99%"
"2022-10-7","1,709.30","1,721.00","1,722.80","1,698.40","157.45K","-0.67%"
"2022-10-6","1,720.80","1,725.50","1,734.20","1,714.80","139.44K","0.00%"
"2022-10-5","1,720.80","1,734.40","1,736.60","1,708.80","173.22K","-0.56%"
"2022-10-4","1,730.50","1,708.40","1,738.70","1,704.00","205.08K","1.67%"
"2022-10-3","1,702.00","1,670.50","1,710.40","1,666.50","215.49K","1.79%"
"2022-9-30","1,672.00","1,669.50","1,684.40","1,667.50","179.99K","0.20%"
"2022-9-29","1,668.60","1,669.00","1,673.10","1,649.30","201.96K","0.21%"
"2022-9-28","1,665.10","1,631.40","1,666.00","1,618.00","1.90K","2.08%"
"2022-9-27","1,631.10","1,626.70","1,643.50","1,626.70","0.83K","0.18%"
"2022-9-26","1,628.20","1,643.00","1,651.00","1,623.20","0.64K","-1.32%"
"2022-9-23","1,650.00","1,674.60","1,674.60","1,642.70","1.36K","-1.56%"
"2022-9-22","1,676.10","1,674.30","1,688.00","1,659.00","0.32K","0.34%"
"2022-9-21","1,670.50","1,666.80","1,685.90","1,657.60","0.17K","0.29%"
"2022-9-20","1,665.70","1,682.30","1,682.30","1,665.90","0.07K","-0.41%"
"2022-9-19","1,672.60","1,680.20","1,680.20","1,663.50","0.18K","-0.32%"
"2022-9-16","1,677.90","1,665.60","1,680.00","1,659.10","0.32K","0.39%"
"2022-9-15","1,671.40","1,695.00","1,695.00","1,664.80","0.28K","-1.87%"
"2022-9-14","1,703.20","1,704.00","1,709.70","1,701.10","0.17K","-0.51%"
"2022-9-13","1,712.00","1,733.40","1,733.40","1,703.80","0.22K","-1.36%"
"2022-9-12","1,735.60","1,731.00","1,737.30","1,728.00","0.04K","0.70%"
"2022-9-9","1,723.60","1,716.00","1,726.40","1,716.00","0.02K","0.48%"
"2022-9-8","1,715.30","1,723.40","1,725.50","1,713.50","0.20K","-0.44%"
"2022-9-7","1,722.80","1,722.80","1,722.80","1,722.80","173.62K","0.87%"
"2022-9-6","1,707.90","1,719.70","1,719.70","1,714.20","0.02K","-0.98%"
"2022-9-5","1,724.80","1,719.20","1,726.60","1,718.75","","0.36%"
"2022-9-4","1,718.65","1,723.60","1,723.75","1,718.65","","0.06%"
"2022-9-2","1,717.70","1,709.60","1,709.60","1,709.60","0.00K","0.78%"
"2022-9-1","1,704.40","1,708.00","1,708.00","1,707.00","0.01K","-0.99%"
"2022-8-31","1,721.40","1,721.40","1,721.40","1,721.40","176.73K","-0.59%"
"2022-8-30","1,731.60","1,731.60","1,731.60","1,731.60","130.66K","-0.51%"
"2022-8-29","1,740.50","1,740.10","1,748.60","1,722.50","4.69K","-0.01%"
"2022-8-26","1,740.60","1,762.30","1,762.30","1,737.00","7.63K","-1.20%"
"2022-8-25","1,761.80","1,755.10","1,769.30","1,753.80","4.95K","0.56%"
"2022-8-24","1,752.00","1,752.20","1,759.70","1,745.50","4.64K","0.03%"
"2022-8-23","1,751.50","1,739.50","1,757.60","1,733.80","5.04K","0.74%"
"2022-8-22","1,738.60","1,750.50","1,752.30","1,730.40","7.38K","-0.82%"
"2022-8-19","1,753.00","1,762.70","1,762.70","1,749.50","6.91K","-0.46%"
"2022-8-18","1,761.10","1,766.30","1,775.90","1,758.90","3.92K","-0.31%"
"2022-8-17","1,766.50","1,780.50","1,786.30","1,763.70","5.60K","-0.72%"
"2022-8-16","1,779.40","1,785.20","1,787.60","1,775.20","3.52K","-0.48%"
"2022-8-15","1,787.90","1,808.20","1,808.20","1,777.60","5.56K","-0.96%"
"2022-8-12","1,805.20","1,793.90","1,808.60","1,789.90","5.25K","0.47%"
"2022-8-11","1,796.80","1,797.90","1,804.30","1,788.50","4.51K","-0.36%"
"2022-8-10","1,803.30","1,799.80","1,814.40","1,793.00","8.71K","0.10%"
"2022-8-9","1,801.50","1,794.00","1,806.00","1,788.50","6.34K","0.40%"
"2022-8-8","1,794.30","1,780.30","1,795.50","1,776.20","4.37K","0.78%"
"2022-8-5","1,780.50","1,796.00","1,800.50","1,769.80","7.23K","-0.87%"
"2022-8-4","1,796.20","1,771.90","1,801.00","1,769.50","9.44K","1.70%"
"2022-8-3","1,766.10","1,767.40","1,779.10","1,759.70","6.90K","-0.76%"
"2022-8-2","1,779.70","1,779.30","1,794.80","1,766.20","9.85K","0.12%"
"2022-8-1","1,777.60","1,772.20","1,781.80","1,764.10","7.76K","0.34%"
"2022-7-29","1,771.50","1,762.40","1,774.20","1,758.40","7.96K","0.71%"
"2022-7-28","1,759.00","1,741.30","1,764.00","1,740.90","20.39K","2.07%"
"2022-7-27","1,723.30","1,720.00","1,743.00","1,713.80","2.60K","0.08%"
"2022-7-26","1,721.90","1,721.80","1,729.90","1,715.90","0.77K","-0.08%"
"2022-7-25","1,723.20","1,730.10","1,734.30","1,717.50","0.52K","-0.47%"
"2022-7-22","1,731.40","1,721.00","1,740.30","1,716.40","0.69K","0.82%"
"2022-7-21","1,717.30","1,697.10","1,722.60","1,682.80","0.53K","0.79%"
"2022-7-20","1,703.90","1,713.70","1,715.00","1,694.60","0.16K","-0.60%"
"2022-7-19","1,714.10","1,711.20","1,719.10","1,707.70","0.10K","0.02%"
"2022-7-18","1,713.80","1,710.30","1,724.70","1,708.90","0.57K","0.37%"
"2022-7-15","1,707.50","1,712.70","1,716.70","1,703.50","0.27K","-0.14%"
"2022-7-14","1,709.90","1,738.70","1,738.70","1,700.60","0.55K","-1.70%"
"2022-7-13","1,739.50","1,728.00","1,748.20","1,710.90","0.18K","0.61%"
"2022-7-12","1,728.90","1,737.20","1,738.80","1,726.00","0.09K","-0.40%"
"2022-7-11","1,735.90","1,741.80","1,744.70","1,735.10","0.75K","-0.62%"
"2022-7-8","1,746.70","1,743.70","1,755.40","1,737.00","0.66K","0.15%"
"2022-7-7","1,744.10","1,743.00","1,748.10","1,742.40","0.79K","0.16%"
"2022-7-6","1,741.30","1,771.90","1,774.90","1,736.80","1.03K","-1.56%"
"2022-7-5","1,768.90","1,817.00","1,817.00","1,768.90","1.33K","0.28%"
"2022-7-4","1,763.90","1,814.40","1,815.20","1,763.00","310.37K","-2.33%"
"2022-7-1","1,805.90","1,810.30","1,816.80","1,788.90","0.23K","-0.34%"
"2022-6-30","1,812.00","1,816.30","1,830.00","1,811.50","0.10K","-0.55%"
"2022-6-29","1,822.00","1,822.00","1,822.00","1,822.00","155.54K","0.04%"
"2022-6-28","1,821.20","1,823.60","1,830.90","1,819.10","111.40K","-0.20%"
"2022-6-27","1,824.80","1,839.60","1,842.80","1,821.80","143.82K","-0.30%"
"2022-6-24","1,830.30","1,824.20","1,833.70","1,817.70","139.72K","0.03%"
"2022-6-23","1,829.80","1,839.70","1,848.90","1,823.50","167.07K","-0.47%"
"2022-6-22","1,838.40","1,834.90","1,850.30","1,824.50","149.55K","-0.02%"
"2022-6-21","1,838.80","1,840.60","1,848.40","1,830.70","176.30K","0.00%"
"2022-6-20","1,838.80","1,840.60","1,848.40","1,830.70","176.30K","-0.10%"
"2022-6-17","1,840.60","1,859.30","1,861.50","1,836.10","141.72K","-0.50%"
"2022-6-16","1,849.90","1,835.80","1,860.20","1,816.30","180.89K","1.67%"
"2022-6-15","1,819.60","1,809.70","1,845.40","1,808.40","203.42K","0.34%"
"2022-6-14","1,813.50","1,820.90","1,833.30","1,806.10","165.15K","-1.00%"
"2022-6-13","1,831.80","1,879.00","1,882.50","1,819.00","252.54K","-2.33%"
"2022-6-10","1,875.50","1,850.40","1,879.60","1,826.50","267.20K","1.23%"
"2022-6-9","1,852.80","1,855.10","1,857.80","1,841.90","131.29K","-0.20%"
"2022-6-8","1,856.50","1,855.00","1,862.40","1,846.60","114.14K","0.24%"
"2022-6-7","1,852.10","1,843.50","1,858.20","1,838.50","119.21K","0.46%"
"2022-6-6","1,843.70","1,853.70","1,861.20","1,843.00","103.18K","-0.35%"
"2022-6-3","1,850.20","1,872.60","1,878.60","1,849.70","115.34K","-1.13%"
"2022-6-2","1,871.40","1,849.90","1,874.40","1,846.50","127.47K","1.23%"
"2022-6-1","1,848.70","1,840.00","1,853.00","1,830.20","158.04K","0.02%"
"2022-5-31","1,848.40","1,856.50","1,867.90","1,837.60","201.80K","0.00%"
"2022-5-30","1,848.40","1,856.50","1,867.90","1,837.60","201.80K","-0.48%"
"2022-5-27","1,857.30","1,855.10","1,866.90","1,851.90","123.76K","0.36%"
"2022-5-26","1,850.60","1,854.50","1,855.00","1,840.40","1.12K","0.08%"
"2022-5-25","1,849.20","1,867.60","1,869.00","1,843.00","0.65K","-1.03%"
"2022-5-24","1,868.40","1,855.40","1,871.30","1,851.30","1.15K","0.96%"
"2022-5-23","1,850.60","1,847.40","1,865.00","1,847.40","0.84K","0.32%"
"2022-5-20","1,844.70","1,842.70","1,848.80","1,834.00","0.15K","0.04%"
"2022-5-19","1,844.00","1,818.30","1,850.40","1,818.30","0.47K","1.37%"
"2022-5-18","1,819.00","1,816.20","1,825.10","1,808.90","0.20K","-0.16%"
"2022-5-17","1,821.90","1,827.20","1,834.90","1,814.30","0.17K","0.28%"
"2022-5-16","1,816.80","1,815.00","1,828.00","1,790.00","0.22K","0.30%"
"2022-5-13","1,811.30","1,821.00","1,830.00","1,801.20","0.09K","-0.91%"
"2022-5-12","1,827.90","1,857.90","1,859.60","1,824.00","0.08K","-1.57%"
"2022-5-11","1,857.10","1,841.50","1,858.40","1,837.40","0.10K","0.69%"
"2022-5-10","1,844.40","1,861.90","1,866.60","1,839.90","0.08K","-0.95%"
"2022-5-9","1,862.00","1,883.60","1,883.60","1,858.00","0.01K","-1.28%"
"2022-5-6","1,886.20","1,873.10","1,892.00","1,873.10","0.01K","0.38%"
"2022-5-5","1,879.00","1,898.40","1,910.20","1,878.70","0.05K","0.37%"
"2022-5-4","1,872.10","1,871.90","1,889.20","1,866.10","0.09K","-0.10%"
"2022-5-3","1,873.90","1,868.70","1,879.30","1,859.70","0.16K","0.37%"
"2022-5-2","1,867.00","1,894.50","1,894.50","1,865.00","0.02K","-2.51%"
"2022-4-29","1,915.10","1,909.20","1,920.60","1,901.20","0.01K","1.07%"
"2022-4-28","1,894.80","1,894.80","1,894.80","1,894.80","170.91K","0.32%"
"2022-4-27","1,888.70","1,907.40","1,908.10","1,881.60","178.20K","-0.81%"
"2022-4-26","1,904.10","1,899.80","1,912.20","1,896.30","166.20K","0.43%"
"2022-4-25","1,896.00","1,931.90","1,935.50","1,891.80","231.49K","-1.98%"
"2022-4-22","1,934.30","1,953.10","1,957.80","1,928.00","176.68K","-0.71%"
"2022-4-21","1,948.20","1,960.00","1,960.10","1,938.00","154.92K","-0.38%"
"2022-4-20","1,955.60","1,952.70","1,960.90","1,941.00","139.51K","-0.17%"
"2022-4-19","1,959.00","1,981.20","1,985.10","1,945.50","181.44K","-1.38%"
"2022-4-18","1,986.40","1,978.50","2,003.00","1,974.40","138.13K","0.58%"
"2022-4-14","1,974.90","1,981.60","1,984.00","1,962.70","139.42K","-0.49%"
"2022-4-13","1,984.70","1,970.50","1,985.80","1,966.30","132.03K","0.44%"
"2022-4-12","1,976.10","1,957.40","1,982.70","1,953.00","172.39K","1.43%"
"2022-4-11","1,948.20","1,949.60","1,974.60","1,942.90","184.39K","0.13%"
"2022-4-8","1,945.60","1,934.30","1,952.20","1,930.40","142.50K","0.40%"
"2022-4-7","1,937.80","1,928.10","1,941.70","1,923.30","122.81K","0.76%"
"2022-4-6","1,923.10","1,927.60","1,937.60","1,916.20","153.97K","-0.23%"
"2022-4-5","1,927.50","1,937.30","1,948.90","1,920.90","147.26K","-0.34%"
"2022-4-4","1,934.00","1,927.10","1,941.60","1,918.20","108.44K","0.54%"
"2022-4-1","1,923.70","1,942.40","1,944.50","1,921.40","135.15K","-1.55%"
"2022-3-31","1,954.00","1,937.30","1,955.00","1,923.00","155.30K","0.77%"
"2022-3-30","1,939.00","1,924.00","1,943.40","1,920.10","136.04K","1.24%"
"2022-3-29","1,915.20","1,924.30","1,930.50","1,891.00","2.43K","-1.40%"
"2022-3-28","1,942.30","1,959.10","1,962.00","1,919.00","1.08K","-0.75%"
"2022-3-25","1,956.90","1,962.30","1,967.40","1,946.80","0.63K","-0.41%"
"2022-3-24","1,964.90","1,947.40","1,969.50","1,941.40","1.14K","1.27%"
"2022-3-23","1,940.20","1,924.00","1,950.80","1,920.50","0.81K","0.82%"
"2022-3-22","1,924.40","1,938.70","1,941.70","1,913.60","1.17K","-0.42%"
"2022-3-21","1,932.50","1,922.70","1,943.20","1,922.00","0.64K","0.04%"
"2022-3-18","1,931.70","1,945.70","1,948.30","1,921.60","0.26K","-0.73%"
"2022-3-17","1,946.00","1,930.60","1,952.50","1,928.30","0.42K","1.78%"
"2022-3-16","1,911.90","1,922.70","1,932.70","1,898.60","0.38K","-1.07%"
"2022-3-15","1,932.60","1,958.80","1,958.80","1,911.60","0.53K","-1.57%"
"2022-3-14","1,963.40","1,985.60","1,990.00","1,956.50","0.19K","-1.22%"
"2022-3-11","1,987.60","2,004.10","2,004.10","1,965.40","0.73K","-0.76%"
"2022-3-10","2,002.90","2,000.20","2,015.70","1,979.10","1.30K","0.61%"
"2022-3-9","1,990.70","2,054.80","2,071.00","1,984.30","0.61K","-2.72%"
"2022-3-8","2,046.30","2,004.30","2,078.70","1,992.60","1.59K","2.38%"
"2022-3-7","1,998.70","1,984.30","2,008.60","1,968.10","1.25K","1.51%"
"2022-3-4","1,968.90","1,944.30","1,974.00","1,940.00","0.79K","1.59%"
"2022-3-3","1,938.10","1,933.00","1,943.80","1,926.50","0.99K","0.70%"
"2022-3-2","1,924.60","1,947.20","1,951.10","1,922.90","0.66K","-1.06%"
"2022-3-1","1,945.30","1,909.00","1,944.40","1,909.00","0.04K","2.27%"
"2022-2-28","1,902.20","1,913.00","1,919.90","1,896.10","0.04K","0.69%"
"2022-2-25","1,889.20","1,889.20","1,889.20","1,889.20","229.78K","-1.93%"
"2022-2-24","1,926.30","1,911.90","1,976.50","1,878.60","423.05K","0.83%"
"2022-2-23","1,910.40","1,901.20","1,912.90","1,891.10","154.84K","0.16%"
"2022-2-22","1,907.40","1,903.50","1,918.30","1,889.70","334.59K","0.00%"
"2022-2-21","1,907.40","1,903.50","1,918.30","1,889.70","334.59K","0.40%"
"2022-2-18","1,899.80","1,901.40","1,905.00","1,888.00","161.75K","-0.12%"
"2022-2-17","1,902.00","1,872.00","1,904.00","1,869.70","268.55K","1.63%"
"2022-2-16","1,871.50","1,855.50","1,874.60","1,851.80","141.49K","0.82%"
"2022-2-15","1,856.20","1,873.80","1,881.60","1,845.40","214.88K","-0.71%"
"2022-2-14","1,869.40","1,862.20","1,876.50","1,851.90","231.02K","1.48%"
"2022-2-11","1,842.10","1,827.00","1,867.40","1,821.10","239.09K","0.26%"
"2022-2-10","1,837.40","1,834.00","1,843.30","1,821.80","227.46K","0.04%"
"2022-2-9","1,836.60","1,827.00","1,837.10","1,825.50","136.72K","0.48%"
"2022-2-8","1,827.90","1,821.50","1,829.90","1,816.00","142.41K","0.33%"
"2022-2-7","1,821.80","1,808.00","1,824.60","1,807.50","139.81K","0.77%"
"2022-2-4","1,807.80","1,805.40","1,815.80","1,792.10","177.71K","0.21%"
"2022-2-3","1,804.10","1,807.40","1,809.50","1,788.50","173.72K","-0.34%"
"2022-2-2","1,810.30","1,800.80","1,812.00","1,794.60","123.02K","0.49%"
"2022-2-1","1,801.50","1,798.90","1,809.70","1,796.20","128.88K","0.28%"
"2022-1-31","1,796.40","1,792.80","1,800.90","1,785.80","139.42K","0.55%"
"2022-1-28","1,786.60","1,799.60","1,800.30","1,780.60","217.15K","-0.42%"
"2022-1-27","1,794.20","1,820.30","1,822.50","1,792.00","2.18K","-2.01%"
"2022-1-26","1,831.00","1,849.40","1,851.60","1,816.00","1.86K","-1.25%"
"2022-1-25","1,854.10","1,845.20","1,855.60","1,836.90","0.81K","0.58%"
"2022-1-24","1,843.40","1,835.30","1,846.00","1,831.60","0.82K","0.54%"
"2022-1-21","1,833.50","1,841.60","1,844.80","1,831.00","0.55K","-0.59%"
"2022-1-20","1,844.30","1,841.30","1,850.10","1,839.00","0.77K","-0.02%"
"2022-1-19","1,844.70","1,814.00","1,845.10","1,811.20","0.38K","1.69%"
"2022-1-18","1,814.10","1,818.70","1,824.20","1,806.90","0.34K","0.09%"
"2022-1-17","1,812.40","1,818.70","1,822.90","1,804.70","362.94K","-0.32%"
"2022-1-14","1,818.30","1,822.90","1,830.60","1,816.30","0.13K","-0.27%"
"2022-1-13","1,823.30","1,827.80","1,827.80","1,814.10","0.11K","-0.32%"
"2022-1-12","1,829.10","1,822.50","1,828.90","1,817.70","0.06K","0.48%"
"2022-1-11","1,820.40","1,802.20","1,824.40","1,802.20","0.35K","1.09%"
"2022-1-10","1,800.70","1,799.70","1,802.40","1,792.50","0.54K","0.08%"
"2022-1-7","1,799.30","1,792.60","1,800.00","1,784.00","2.26K","0.46%"
"2022-1-6","1,791.00","1,812.30","1,812.30","1,788.70","0.66K","-1.95%"
"2022-1-5","1,826.60","1,821.90","1,831.50","1,811.60","0.60K","0.59%"
"2022-1-4","1,815.80","1,807.90","1,817.00","1,801.80","0.46K","0.82%"
"2022-1-3","1,801.10","1,826.80","1,826.80","1,800.20","0.02K","-1.56%"
